L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp,user
-0.00375,-0.09,0.1075,0.0049125,-0.00531,0.0493175,-0.00625,-0.01625,0.12375,0.000535,7.75e-05,-0.000107500004,1742092630.686181,user_1
-0.13125,0.11875,0.1575,0.0222025,-0.008315,0.056137502,-0.0075,-0.02125,0.12375,-0.00023,-0.000107500004,-0.000107500004,1742092630.806689,user_1
-0.03,0.03875,0.09375,-0.0125875,0.0369875,-0.044494998,-0.00625,-0.0125,0.12125,1.5e-05,-0.00064,-0.000625,1742092630.913589,user_1
-0.0025,-0.1075,0.1025,-0.0219575,-0.0036775,-0.043395,-0.00875,-0.0175,0.12375,-0.00084,0.00048750002,-9.25e-05,1742092631.02778,user_1
0.0075,-0.09875,0.10125,0.006835,0.00142,0.049165,-0.0075,-0.01875,0.1225,0.00142,0.0004725,-0.0001375,1742092631.1470678,user_1
-0.1125,0.035,0.17875,0.0168,-0.0231325,0.0467075,-0.0075,-0.02125,0.12375,-0.0012975,-0.000245,0.0009925,1742092631.2556958,user_1
-0.04625,0.055,0.12625,-0.0127575,0.02571,-0.0346525,-0.00375,-0.015,0.12125,-0.005905,-0.0009,0.0012675,1742092631.369614,user_1
0.015,-0.08375,0.09,-0.038345,-0.000535,-0.062805,-0.0075,-0.01,0.125,-0.00151,-0.00016750001,0.0004275,1742092631.4871418,user_1
0.0025,-0.12875,0.1225,0.00821,-0.012207501,0.03424,-0.0075,-0.01,0.125,0.0004425,0.0001375,-0.00032,1742092631.606145,user_1
-0.075,0.0025,0.15,0.05014,-0.0071725002,0.074295,-0.00375,-0.015,0.1225,0.0001375,9.25e-05,4.5e-05,1742092631.7115252,user_1
-0.04375,0.06,0.1275,-0.027557502,0.025817499,-0.037795,-0.01,-0.01125,0.1225,-0.00035,-0.00048750002,-0.00059500005,1742092631.827286,user_1
0.00625,-0.07,0.0875,-0.01953,0.00975,-0.055375,-0.0075,-0.015,0.12625,-0.00016750001,0.00026,-0.0001375,1742092631.947055,user_1
0.00625,-0.1025,0.1225,-0.0114899995,-0.0150150005,0.0119475005,-0.00875,-0.00875,0.12375,0.0006725,9.25e-05,1.5e-05,1742092632.053683,user_1
