L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp,user
0.12,-0.02125,-0.03,-0.0048674997,0.0009775,0.002075,-0.06375,-0.10875,-0.185,-0.013152501,-0.0137475,0.0060425,1742109684.151754,user_1
0.08625,0.03375,-0.02125,0.0112924995,-0.00537,0.0069425,0.0975,-0.17875,0.04,-0.01941,0.03427,0.00502,1742109684.25755,user_1
0.125,-0.0375,-0.03625,0.023575,0.0046375,-0.0109399995,-0.03625,-0.11125,0.0325,0.016755,0.057815,-0.015595,1742109684.371781,user_1
0.11125,-0.02125,-0.02625,0.0068975003,-0.00091500004,-0.0043025,-0.045,-0.1175,-0.10375,0.01445,0.023909999,-0.0057225,1742109684.490911,user_1
0.11875,-0.02,-0.03375,-0.0010375,-0.00023,0.0022125002,-0.1,-0.1575,-0.2125,-0.045135,-0.0797425,0.0340875,1742109684.5998578,user_1
0.18,0.02625,-0.025,0.02159,-0.0117025,-0.0019525,-0.0125,-0.025,0.1,0.0286875,-0.030945,0.0055549997,1742109684.713631,user_1
0.11,-0.0275,-0.0325,-0.0148625,0.00531,0.0019525,-0.07,-0.2025,-0.105,0.0387875,0.047912497,-0.02069,1742109684.831428,user_1
0.11375,-0.03125,-0.03375,-0.0042425,0.0030525,-0.0004425,-0.03375,-0.07875,-0.11125,-0.007675,-0.0026099999,0.0107125,1742109684.951387,user_1
0.1175,-0.01375,-0.02875,-0.0025775002,-0.0023800002,0.0033425,-0.09875,0.01625,0.33125,-0.0473625,-0.0715475,0.027207501,1742109685.055551,user_1
0.10875,-0.01625,-0.025,0.0077975,0.0095225,-0.018645,-0.0375,-0.1025,0.09875,0.0500025,0.02156,-0.0230725,1742109685.171063,user_1
0.12,0.01125,-0.025,-0.01004,0.0001525,0.0036775,-0.05125,-0.1375,-0.075,0.0084525,0.039155,-0.0152125,1742109685.290869,user_1
0.12375,-0.0175,-0.0325,-0.0048375,0.00148,0.000945,-0.065,-0.095,-0.20375,-0.0426025,-0.0319225,0.0163575,1742109685.3977332,user_1
0.06375,0.01,-0.0,0.006255,-0.0048825,0.0071875,0.06875,-0.27375,0.0425,-0.055465,-0.01509,0.028275,1742109685.5115452,user_1
0.12625,-0.01375,-0.02375,0.0101025,0.0036175,-0.0059499997,-0.04125,-0.12625,-0.00625,0.0222775,0.058975,-0.0080725,1742109685.629964,user_1
0.10625,-0.0275,-0.02625,0.005235,-0.0027625,-0.0036925,-0.04,-0.1175,-0.125,0.0040599997,0.02925,0.0019075,1742109685.739637,user_1
0.125,-0.01875,-0.02875,-0.0054325,0.004395,0.0025775002,-0.0875,-0.07375,-0.21875,-0.024705,-0.101027496,0.0169975,1742109685.853757,user_1
