L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp,user
0.01,0.02,0.12125,3e-05,1.5e-05,-1.5e-05,0.0175,-0.03125,0.12,-1.5e-05,-0.002365,0.00055,1742107590.882142,user_1
0.01,0.02125,0.12125,-4.5e-05,0.0,-4.5e-05,0.01375,-0.02625,0.11875,-0.001235,-0.00174,0.000275,1742107590.9961238,user_1
0.00875,0.02125,0.12125,-4.5e-05,-1.5e-05,-6e-05,0.0125,-0.02125,0.11625,0.0002125,-0.000655,7.75e-05,1742107591.113055,user_1
0.00875,0.02125,0.12125,-3e-05,-1.5e-05,-0.0001225,0.00875,-0.0225,0.12875,-0.005295,-0.0061025,0.0003975,1742107591.22316,user_1
0.00875,0.02,0.12125,-3e-05,-1.5e-05,-4.5e-05,0.00875,-0.02875,0.12375,0.00058,0.0007325,-7.75e-05,1742107591.337024,user_1
0.01,0.02125,0.12125,-0.0002125,-7.75e-05,-1.5e-05,0.00875,-0.02625,0.1225,0.00029,-0.0001375,0.00023,1742107591.452231,user_1
0.00875,0.02125,0.12125,-0.0001975,-1.5e-05,1.5e-05,0.01,-0.0275,0.12125,-0.001725,-0.0010525,0.00035,1742107591.564142,user_1
0.00875,0.02125,0.12125,0.0,0.0,-6e-05,0.0075,-0.025,0.12625,0.00064,0.0010675,0.0009775,1742107591.677879,user_1
0.00875,0.02125,0.12125,4.5e-05,0.0,-1.5e-05,0.01,-0.03,0.125,0.006745,0.012390001,0.002625,1742107591.7930272,user_1
0.01,0.02125,0.12125,4.5e-05,3e-05,-3e-05,0.02625,-0.03375,0.11125,0.0046550003,0.00975,0.00125,1742107591.903883,user_1
0.00875,0.02125,0.12125,1.5e-05,4.5e-05,-6e-05,0.02875,-0.03375,0.1175,-0.0001825,0.0001525,0.0001525,1742107592.016997,user_1
0.00875,0.02125,0.12125,0.0,3e-05,-4.5e-05,0.03,-0.03,0.11125,-0.000655,-0.00685,-0.0033425,1742107592.134228,user_1
0.01,0.02125,0.12125,1.5e-05,1.5e-05,-1.5e-05,0.0175,-0.03625,0.1325,-0.0050500003,-0.012025,-0.001435,1742107592.245222,user_1
0.00875,0.02125,0.12125,0.0,0.0,-1.5e-05,0.0125,-0.03375,0.1225,-0.0029749998,-0.0072775004,-0.00142,1742107592.359236,user_1
0.00875,0.02125,0.12125,0.000107500004,1.5e-05,-3e-05,0.00625,-0.02875,0.12375,-0.0027474998,-0.0060275,-0.0010675,1742107592.47321,user_1
0.01,0.02125,0.12125,6e-05,0.0,-9.25e-05,0.00125,-0.0225,0.1225,-0.00023,-0.0031575,-0.00113,1742107592.587193,user_1
0.00875,0.02125,0.12125,-4.5e-05,0.0,1.5e-05,-0.00125,-0.0225,0.12375,0.000885,-0.00087,-0.0008075,1742107592.70114,user_1
0.00875,0.02125,0.12125,0.0001225,6e-05,-6e-05,-0.00125,-0.02625,0.12125,0.001145,-0.000305,-0.0002125,1742107592.815243,user_1
0.00875,0.02125,0.12125,7.75e-05,3e-05,-3e-05,-0.0025,-0.02875,0.1175,0.00093,0.0012825,9.25e-05,1742107592.932469,user_1
0.00875,0.02125,0.12125,0.0001225,1.5e-05,-7.75e-05,0.0,-0.025,0.12875,0.0024249998,0.0119175,0.00299,1742107593.041958,user_1
0.00875,0.02125,0.12125,0.000107500004,4.5e-05,-6e-05,0.0225,-0.0275,0.10625,0.0032650002,0.0107125,-0.0016625,1742107593.155499,user_1
