L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp,user
0.00875,0.00375,0.12375,0.0008075,0.001495,-0.0012975,-0.0075,-0.04,-0.04875,0.0025175,0.0198525,-0.0079499995,1742107179.413292,user_1
0.01375,-0.005,0.10625,0.0048825,-0.00319,-0.00052,-0.01875,-0.1075,-0.14875,0.0018775001,-0.02565,-0.0033275,1742107179.5273652,user_1
0.01,0.0025,0.1275,-0.00091500004,0.0016175,0.0001975,0.00375,-0.05,-0.0225,0.0033425,0.00052,-0.0001525,1742107179.6411378,user_1
0.0125,-0.0025,0.1175,0.00048750002,0.0006875,-0.00055,-0.02375,-0.08875,-0.23625,-0.0007025,0.00531,-0.0015575,1742107179.755369,user_1
0.01125,0.00125,0.14,0.00293,0.0007175,0.000245,-0.0125,-0.065,-0.06,-0.00496,-0.01593,0.0072475,1742107179.869361,user_1
0.01125,-0.00125,0.1175,-0.0002125,0.0018625,-0.00064,-0.02875,-0.0775,-0.1175,0.0013425,0.026,-0.0085,1742107179.983316,user_1
0.01,-0.00125,0.1275,-0.0028525,-0.0004275,0.0012975,-0.01125,-0.08625,-0.0925,-0.005905,-0.0245675,0.0083325,1742107180.0992022,user_1
0.01,0.0025,0.12375,-0.0001375,0.00122,-0.0014500001,0.0,-0.055,-0.03,0.0045324997,0.013015,-0.0052024997,1742107180.211158,user_1
0.015,-0.00875,0.11,0.00154,-0.001785,0.0007175,-0.01625,-0.09375,-0.1575,0.0074299998,-0.019317498,0.00084,1742107180.325283,user_1
0.0125,0.00375,0.12375,0.00079250004,0.0011900001,-0.0007475,0.00125,-0.055,-0.035,0.0040125,-0.00508,0.002655,1742107180.439643,user_1
0.0125,-0.0075,0.12125,-0.0001525,0.0004275,-0.0007175,-0.01125,-0.10375,-0.19,-0.00679,0.0233925,-0.0062399996,1742107180.5534852,user_1
0.0125,-0.00375,0.13375,0.0028074998,-0.0001375,0.00084,-0.0075,-0.075,-0.06125,-0.0020150002,-0.0148625,0.008225,1742107180.667348,user_1
0.01,-0.00375,0.12125,-0.0004425,0.000655,-0.00113,-0.0125,-0.0575,-0.0825,0.0024425,0.02423,-0.008407501,1742107180.782572,user_1
0.00875,-0.0,0.12375,0.0001375,-0.002,0.000885,-0.0125,-0.0925,-0.10625,-0.0032950002,-0.019012501,0.005875,1742107180.8999522,user_1
0.00875,0.00125,0.12125,-0.0003975,0.000945,-0.0007325,0.0025,-0.05375,-0.04,0.0024100002,0.0074925,-0.001115,1742107181.009131,user_1
0.01375,-0.005,0.11375,0.0006725,-0.001175,-0.000275,-0.0125,-0.07625,-0.195,0.0027925,-0.000535,0.0006875,1742107181.12336,user_1
0.01,0.00375,0.1275,-0.001145,0.0016025,0.000275,-0.00375,-0.06125,-0.05125,-0.00325,-0.0072325002,0.00415,1742107181.241329,user_1
0.0125,-0.005,0.12125,-0.000535,0.00113,-0.0013275,-0.0175,-0.07125,-0.12125,-0.001235,0.02832,-0.007095,1742107181.351373,user_1
0.005,-0.00375,0.14,0.0013725,7.75e-05,0.00033500002,-0.0125,-0.08125,-0.08375,-0.001175,-0.022155,0.0056925,1742107181.465369,user_1
0.01,-0.00125,0.11875,-0.00032,0.002395,-0.00048750002,-0.005,-0.0525,-0.04875,0.0050975,0.01384,-0.0031275,1742107181.580055,user_1
0.01625,-0.0075,0.11375,0.0003825,-0.0010825,0.000625,-0.0075,-0.0925,-0.14,0.0034325,-0.0196075,-0.0010525,1742107181.693478,user_1
0.01,0.0,0.125,0.0009775,0.00029,0.00029,0.00375,-0.055,-0.0425,0.001115,-0.0027474998,0.0051875,1742107181.807055,user_1
0.015,-0.005,0.12375,0.0002125,0.001465,-0.0001525,-0.005,-0.0875,-0.16125,-0.006745,0.02797,-0.01004,1742107181.921242,user_1
0.01375,-0.00625,0.13125,0.0004725,-0.0015875,0.0007325,0.00375,-0.05875,-0.085,-0.00171,-0.03148,0.010865,1742107182.040355,user_1
0.01125,-0.00375,0.12375,0.0,0.0018475,-0.0006725,-0.01125,-0.03625,-0.06375,0.0024249998,0.031967502,-0.0167075,1742107182.149166,user_1
0.015,-0.00125,0.10625,0.000885,-0.0058449996,0.0011900001,-0.00125,-0.09625,-0.1275,0.0007625,-0.019135,0.0092,1742107182.263165,user_1
0.01,-0.00125,0.12125,0.000365,0.0020899998,-0.000365,0.01375,-0.03,-0.0475,0.00267,0.00087,0.0019375,1742107182.38086,user_1
0.01625,-0.005,0.12375,0.0001975,0.00267,-0.00032,-0.00125,-0.1075,-0.2275,-0.000625,0.005645,0.00032,1742107182.491166,user_1
